id,source,target,weight
8500010-8500016,8500010,8500016,11443
8500010-8500020,8500010,8500020,43662
8500010-8500021,8500010,8500021,522
8500020-8500021,8500020,8500021,43361
8500010-8500023,8500010,8500023,31297
8500020-8500023,8500020,8500023,569
8500022-8500023,8500022,8500023,20603
8500010-8500090,8500010,8500090,33589
8500023-8500090,8500023,8500090,1990
8500010-8500105,8500010,8500105,8229
8500104-8500105,8500104,8500105,10333
8500010-8500109,8500010,8500109,880
8500028-8500109,8500028,8500109,10488
8500105-8500109,8500105,8500109,17499
8500010-8500113,8500010,8500113,1410
8500028-8500113,8500028,8500113,8902
8500109-8500113,8500109,8500113,19893
8500010-8500117,8500010,8500117,141
8500115-8500117,8500115,8500117,538
8500116-8500117,8500116,8500117,20805
8500010-8500119,8500010,8500119,26
8500118-8500119,8500118,8500119,20610
8500010-8500218,8500010,8500218,17090
8500023-8500218,8500023,8500218,9623
8500026-8500218,8500026,8500218,216
8500027-8500218,8500027,8500218,9767
8500028-8500218,8500028,8500218,534
8500037-8500218,8500037,8500218,9428
8500090-8500218,8500090,8500218,2253
8500136-8500218,8500136,8500218,18959
8500207-8500218,8500207,8500218,8796
8500212-8500218,8500212,8500218,10342
8500217-8500218,8500217,8500218,19053
8500010-8500301,8500010,8500301,17295
8500021-8500301,8500021,8500301,359
8500300-8500301,8500300,8500301,22716
8500010-8503000,8500010,8503000,13984
8500090-8503000,8500090,8503000,4602
8500218-8503000,8500218,8503000,10025
8500309-8503000,8500309,8503000,27446
8500320-8503000,8500320,8503000,10017
8500329-8503000,8500329,8503000,3005
8501120-8503000,8501120,8503000,15964
8501609-8503000,8501609,8503000,7004
8502113-8503000,8502113,8503000,18022
8502115-8503000,8502115,8503000,488
8502119-8503000,8502119,8503000,35256
8502204-8503000,8502204,8503000,25218
8502206-8503000,8502206,8503000,10503
8502208-8503000,8502208,8503000,251
8502209-8503000,8502209,8503000,19369
8502215-8503000,8502215,8503000,3492
8502229-8503000,8502229,8503000,35459
8500021-8500022,8500021,8500022,20739
8500021-8500300,8500021,8500300,22711
8500023-8500024,8500023,8500024,20387
8500023-8500025,8500023,8500025,289
8500024-8500025,8500024,8500025,20411
8500023-8500026,8500023,8500026,20497
8500025-8500026,8500025,8500026,20702
8500026-8500027,8500026,8500027,29664
8500026-8500028,8500026,8500028,25
8500027-8500028,8500027,8500028,19899
8500026-8500031,8500026,8500031,10182
8500026-8502113,8500026,8502113,10807
8500218-8502113,8500218,8502113,1823
8500309-8502113,8500309,8502113,18748
8501037-8502113,8501037,8502113,7942
8501120-8502113,8501120,8502113,967
8502001-8502113,8502001,8502113,8041
8502010-8502113,8502010,8502113,7041
8502103-8502113,8502103,8502113,34467
8502105-8502113,8502105,8502113,252
8502106-8502113,8502106,8502113,13520
8502112-8502113,8502112,8502113,19565
8500031-8500032,8500031,8500032,10182
8500032-8500033,8500032,8500033,10182
8500033-8500034,8500033,8500034,10182
8500034-8500035,8500034,8500035,10182
8500035-8500037,8500035,8500037,9678
8500037-8500240,8500037,8500240,60
8500090-8503424,8500090,8503424,7357
8503000-8503424,8503000,8503424,7921
8503400-8503424,8503400,8503424,8835
8503423-8503424,8503423,8503424,47459
8500100-8500101,8500100,8500101,14686
8500100-8500162,8500100,8500162,13978
8500101-8500102,8500101,8500102,14686
8500102-8500103,8500102,8500103,10333
8500102-8500135,8500102,8500135,4353
8500105-8500135,8500105,8500135,10333
8500103-8500104,8500103,8500104,10333
8500105-8500206,8500105,8500206,9092
8500205-8500206,8500205,8500206,19166
8500109-8500120,8500109,8500120,10469
8500119-8500120,8500119,8500120,8969
8500109-8500159,8500109,8500159,512
8500113-8500159,8500113,8500159,8484
8500126-8500159,8500126,8500159,500
8500144-8500159,8500144,8500159,7984
8500113-8500114,8500113,8500114,21621
8500114-8500115,8500114,8500115,21351
8500115-8500116,8500115,8500116,20491
8500117-8500118,8500117,8500118,21199
8500119-8500136,8500119,8500136,11641
8500126-8500136,8500126,8500136,9532
8500120-8500121,8500120,8500121,19701
8500121-8500122,8500121,8500122,19942
8500122-8500123,8500122,8500123,19986
8500123-8500124,8500123,8500124,19978
8500123-8500169,8500123,8500169,7999
8500124-8500125,8500124,8500125,19978
8500125-8500126,8500125,8500126,19978
8500126-8500127,8500126,8500127,9881
8500126-8500186,8500126,8500186,13067
8500127-8500128,8500127,8500128,9881
8500128-8500141,8500128,8500141,9838
8500135-8504300,8500135,8504300,1787
8500159-8504300,8500159,8504300,17047
8500207-8504300,8500207,8504300,9305
8500218-8504300,8500218,8504300,9862
8503000-8504300,8503000,8504300,603
8503016-8504300,8503016,8504300,598
8504221-8504300,8504221,8504300,19131
8504229-8504300,8504229,8504300,13600
8500135-8504304,8500135,8504304,12899
8504300-8504304,8504300,8504304,9449
8504303-8504304,8504303,8504304,10180
8500141-8500143,8500141,8500143,3097
8500141-8500144,8500141,8500144,6770
8500143-8500144,8500143,8500144,3053
8500159-8501008,8500159,8501008,170
8500218-8501008,8500218,8501008,8173
8501007-8501008,8501007,8501008,20560
8500159-8501120,8500159,8501120,282
8500218-8501120,8500218,8501120,10040
8501008-8501120,8501008,8501120,3437
8501026-8501120,8501026,8501120,15322
8501037-8501120,8501037,8501120,16873
8501103-8501120,8501103,8501120,1684
8501118-8501120,8501118,8501120,71758
8500162-8500164,8500162,8500164,9199
8500162-8500170,8500162,8500170,4779
8500167-8500170,8500167,8500170,9502
8500164-8500165,8500164,8500165,9516
8500165-8500167,8500165,8500167,9516
8500167-8500173,8500167,8500173,991
8500172-8500173,8500172,8500173,9516
8500169-8500174,8500169,8500174,13925
8500173-8500174,8500173,8500174,10479
